Gen,Mensaje
Hardware,Año de lanzamiento con más horas jugadas para Género Hardware: 2015
Heist,Año de lanzamiento con más horas jugadas para Género Heist: 2015
Hidden Object,Año de lanzamiento con más horas jugadas para Género Hidden Object: 2009
Horror,Año de lanzamiento con más horas jugadas para Género Horror: 2006
Indie,Año de lanzamiento con más horas jugadas para Género Indie: 2006
Kickstarter,Año de lanzamiento con más horas jugadas para Género Kickstarter: 2015
Linear,Año de lanzamiento con más horas jugadas para Género Linear: 2015
Local Multiplayer,Año de lanzamiento con más horas jugadas para Género Local Multiplayer: 2015
Lovecraftian,Año de lanzamiento con más horas jugadas para Género Lovecraftian: 2006
MOBA,Año de lanzamiento con más horas jugadas para Género MOBA: 2015
Magic,Año de lanzamiento con más horas jugadas para Género Magic: 2000
Martial Arts,Año de lanzamiento con más horas jugadas para Género Martial Arts: 2015
Massively Multiplayer,Año de lanzamiento con más horas jugadas para Género Massively Multiplayer: 2013
Mature,Año de lanzamiento con más horas jugadas para Género Mature: 2015
Memes,Año de lanzamiento con más horas jugadas para Género Memes: 2011
Movie,Año de lanzamiento con más horas jugadas para Género Movie: 2015
Multiplayer,Año de lanzamiento con más horas jugadas para Género Multiplayer: 2000
Mystery,Año de lanzamiento con más horas jugadas para Género Mystery: 2015
Narration,Año de lanzamiento con más horas jugadas para Género Narration: 2016
Nudity,Año de lanzamiento con más horas jugadas para Género Nudity: 2014
Online Co-Op,Año de lanzamiento con más horas jugadas para Género Online Co-Op: 2015
Open World,Año de lanzamiento con más horas jugadas para Género Open World: 2011
Parody,Año de lanzamiento con más horas jugadas para Género Parody: 2015
Photo Editing,Año de lanzamiento con más horas jugadas para Género Photo Editing: 2014
Physics,Año de lanzamiento con más horas jugadas para Género Physics: 2015
Pixel Graphics,Año de lanzamiento con más horas jugadas para Género Pixel Graphics: 2012
Platformer,Año de lanzamiento con más horas jugadas para Género Platformer: 2011
Political,Año de lanzamiento con más horas jugadas para Género Political: 2016
Politics,Año de lanzamiento con más horas jugadas para Género Politics: 2016
Post-apocalyptic,Año de lanzamiento con más horas jugadas para Género Post-apocalyptic: 2015
Psychological Horror,Año de lanzamiento con más horas jugadas para Género Psychological Horror: 2000
Puzzle,Año de lanzamiento con más horas jugadas para Género Puzzle: 2009
RPG,Año de lanzamiento con más horas jugadas para Género RPG: 2011
RTS,Año de lanzamiento con más horas jugadas para Género RTS: 2000
Racing,Año de lanzamiento con más horas jugadas para Género Racing: 2015
Real-Time,Año de lanzamiento con más horas jugadas para Género Real-Time: 2000
Remake,Año de lanzamiento con más horas jugadas para Género Remake: 2012
Replay Value,Año de lanzamiento con más horas jugadas para Género Replay Value: 2011
Retro,Año de lanzamiento con más horas jugadas para Género Retro: 2011
Rogue-like,Año de lanzamiento con más horas jugadas para Género Rogue-like: 2016
Rogue-lite,Año de lanzamiento con más horas jugadas para Género Rogue-lite: 2016
Romance,Año de lanzamiento con más horas jugadas para Género Romance: 2015
Sci-fi,Año de lanzamiento con más horas jugadas para Género Sci-fi: 2015
Shooter,Año de lanzamiento con más horas jugadas para Género Shooter: 2006
Short,Año de lanzamiento con más horas jugadas para Género Short: 2015
Side Scroller,Año de lanzamiento con más horas jugadas para Género Side Scroller: 2012
Simulation,Año de lanzamiento con más horas jugadas para Género Simulation: 2006
Singleplayer,Año de lanzamiento con más horas jugadas para Género Singleplayer: 2011
Soccer,Año de lanzamiento con más horas jugadas para Género Soccer: 2015
Software Training,Año de lanzamiento con más horas jugadas para Género Software Training: 2014
Soundtrack,Año de lanzamiento con más horas jugadas para Género Soundtrack: 2016
Sports,Año de lanzamiento con más horas jugadas para Género Sports: 2015
Stealth,Año de lanzamiento con más horas jugadas para Género Stealth: 2006
Steam Machine,Año de lanzamiento con más horas jugadas para Género Steam Machine: 2015
Story Rich,Año de lanzamiento con más horas jugadas para Género Story Rich: 2011
Strategy,Año de lanzamiento con más horas jugadas para Género Strategy: 2013
Surreal,Año de lanzamiento con más horas jugadas para Género Surreal: 2000
Survival,Año de lanzamiento con más horas jugadas para Género Survival: 2006
Survival Horror,Año de lanzamiento con más horas jugadas para Género Survival Horror: 2006
Third Person,Año de lanzamiento con más horas jugadas para Género Third Person: 2011
Thriller,Año de lanzamiento con más horas jugadas para Género Thriller: 2015
Time Attack,Año de lanzamiento con más horas jugadas para Género Time Attack: 2012
Time Travel,Año de lanzamiento con más horas jugadas para Género Time Travel: 2012
Tutorial,Año de lanzamiento con más horas jugadas para Género Tutorial: 2015
Twin Stick Shooter,Año de lanzamiento con más horas jugadas para Género Twin Stick Shooter: 2016
Utilities,Año de lanzamiento con más horas jugadas para Género Utilities: 2014
Video Production,Año de lanzamiento con más horas jugadas para Género Video Production: 2015
Violent,Año de lanzamiento con más horas jugadas para Género Violent: 2015
Walking Simulator,Año de lanzamiento con más horas jugadas para Género Walking Simulator: 2015
Web Publishing,Año de lanzamiento con más horas jugadas para Género Web Publishing: 2012
World War I,Año de lanzamiento con más horas jugadas para Género World War I: 2016
Zombies,Año de lanzamiento con más horas jugadas para Género Zombies: 2015
e-sports,Año de lanzamiento con más horas jugadas para Género e-sports: 2014
