developer,mensaje
8-Bit Studio,"8-Bit Studio : Negative = 0, Neutral = 1, Positive = 0"
800 North and Digital Ranch,"800 North and Digital Ranch : Negative = 29, Neutral = 16, Positive = 14"
8888888 LABS,"8888888 LABS : Negative = 2, Neutral = 0, Positive = 0"
88mm,"88mm : Negative = 1, Neutral = 0, Positive = 0"
8monkey Labs,"8monkey Labs : Negative = 1, Neutral = 0, Positive = 0"
9heads Game Studios,"9heads Game Studios : Negative = 6, Neutral = 5, Positive = 2"
@unepic_fran,"@unepic_fran : Negative = 3, Neutral = 3, Positive = 0"
A Crowd of Monsters,"A Crowd of Monsters : Negative = 0, Neutral = 1, Positive = 0"
A Jolly Corpse,"A Jolly Corpse : Negative = 2, Neutral = 0, Positive = 0"
ACE Team,"ACE Team : Negative = 9, Neutral = 3, Positive = 2"
ACQUIRE Corp.,"ACQUIRE Corp. : Negative = 2, Neutral = 1, Positive = 3"
AGC,"AGC : Negative = 2, Neutral = 1, Positive = 1"
ALICE IN DISSONANCE,"ALICE IN DISSONANCE : Negative = 3, Neutral = 0, Positive = 0"
ALLPlayer Group Ltd.,"ALLPlayer Group Ltd. : Negative = 0, Neutral = 0, Positive = 1"
AMPLITUDE Studios,"AMPLITUDE Studios : Negative = 28, Neutral = 7, Positive = 5"
Abbey Games,"Abbey Games : Negative = 9, Neutral = 5, Positive = 2"
Abstraction Games,"Abstraction Games : Negative = 0, Neutral = 0, Positive = 1"
"Acceleroto, Inc.","Acceleroto, Inc. : Negative = 1, Neutral = 0, Positive = 0"
Access Games,"Access Games : Negative = 0, Neutral = 0, Positive = 1"
Acid Nerve,"Acid Nerve : Negative = 2, Neutral = 1, Positive = 0"
Actalogic,"Actalogic : Negative = 0, Neutral = 3, Positive = 0"
Adam Foster,"Adam Foster : Negative = 4, Neutral = 0, Positive = 1"
Afterthought LLC,"Afterthought LLC : Negative = 1, Neutral = 0, Positive = 0"
Airtight Games,"Airtight Games : Negative = 8, Neutral = 2, Positive = 1"
Akakiy Petrushkin,"Akakiy Petrushkin : Negative = 1, Neutral = 0, Positive = 0"
"Akella,.dat","Akella,.dat : Negative = 1, Neutral = 0, Positive = 0"
"AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason","AlPixel Games,Luis Diaz,Gustavo Santos,Albert Fernandez,Tice Thomason : Negative = 2, Neutral = 1, Positive = 0"
Alan Edwardes,"Alan Edwardes : Negative = 25, Neutral = 4, Positive = 3"
Alan Zucconi,"Alan Zucconi : Negative = 1, Neutral = 0, Positive = 0"
Alawar,"Alawar : Negative = 2, Neutral = 0, Positive = 0"
Aleksey Abramenko,"Aleksey Abramenko : Negative = 0, Neutral = 1, Positive = 2"
Alex Zhang,"Alex Zhang : Negative = 0, Neutral = 0, Positive = 1"
Alexander Bruce,"Alexander Bruce : Negative = 27, Neutral = 14, Positive = 6"
Alice &amp; Smith,"Alice &amp; Smith : Negative = 1, Neutral = 0, Positive = 0"
Alien Sync Interactive,"Alien Sync Interactive : Negative = 1, Neutral = 0, Positive = 0"
Alientrap,"Alientrap : Negative = 3, Neutral = 2, Positive = 1"
Almost Human Games,"Almost Human Games : Negative = 6, Neutral = 3, Positive = 0"
Altar Games,"Altar Games : Negative = 0, Neutral = 0, Positive = 2"
Alternative Software Ltd,"Alternative Software Ltd : Negative = 1, Neutral = 0, Positive = 0"
Amanita Design,"Amanita Design : Negative = 7, Neutral = 0, Positive = 0"
"Amaranth Games, LLC","Amaranth Games, LLC : Negative = 0, Neutral = 1, Positive = 0"
Anarchy Enterprises,"Anarchy Enterprises : Negative = 2, Neutral = 0, Positive = 0"
"AndrewMD5,Codeusa","AndrewMD5,Codeusa : Negative = 1, Neutral = 0, Positive = 1"
Andrii Vintsevych,"Andrii Vintsevych : Negative = 6, Neutral = 6, Positive = 2"
Andy Wallace,"Andy Wallace : Negative = 1, Neutral = 0, Positive = 1"
Angry Mob Games,"Angry Mob Games : Negative = 1, Neutral = 0, Positive = 0"
Animation Arts,"Animation Arts : Negative = 0, Neutral = 1, Positive = 0"
Anisoptera Games,"Anisoptera Games : Negative = 1, Neutral = 2, Positive = 0"
Ankama Studio,"Ankama Studio : Negative = 6, Neutral = 1, Positive = 0"
Anothink,"Anothink : Negative = 1, Neutral = 1, Positive = 0"
"Antanas Marcelionis,Renė Petrulienė","Antanas Marcelionis,Renė Petrulienė : Negative = 1, Neutral = 0, Positive = 0"
Apeiron,"Apeiron : Negative = 1, Neutral = 0, Positive = 0"
Aperture Tag Team,"Aperture Tag Team : Negative = 9, Neutral = 1, Positive = 0"
Aquiris Game Studio,"Aquiris Game Studio : Negative = 1, Neutral = 0, Positive = 0"
Arachnid Games,"Arachnid Games : Negative = 2, Neutral = 0, Positive = 0"
Aratog LLC,"Aratog LLC : Negative = 1, Neutral = 0, Positive = 0"
Arc System Works,"Arc System Works : Negative = 3, Neutral = 1, Positive = 2"
"Arcen Games, LLC","Arcen Games, LLC : Negative = 6, Neutral = 1, Positive = 0"
Archive Entertainment,"Archive Entertainment : Negative = 19, Neutral = 11, Positive = 8"
Arkane Studios,"Arkane Studios : Negative = 72, Neutral = 16, Positive = 21"
Arkavi Studios,"Arkavi Studios : Negative = 0, Neutral = 1, Positive = 0"
Arkedo,"Arkedo : Negative = 1, Neutral = 0, Positive = 0"
Arrowhead Game Studios,"Arrowhead Game Studios : Negative = 49, Neutral = 20, Positive = 27"
Artefacts Studio,"Artefacts Studio : Negative = 1, Neutral = 0, Positive = 0"
Artery Games,"Artery Games : Negative = 4, Neutral = 1, Positive = 4"
Artifex Mundi,"Artifex Mundi : Negative = 1, Neutral = 1, Positive = 0"
Artifice Studio,"Artifice Studio : Negative = 2, Neutral = 1, Positive = 1"
Ascaron,"Ascaron : Negative = 0, Neutral = 1, Positive = 0"
Ascaron Entertainment ltd.,"Ascaron Entertainment ltd. : Negative = 1, Neutral = 1, Positive = 0"
Ascension Entertainment LLC,"Ascension Entertainment LLC : Negative = 2, Neutral = 2, Positive = 2"
Aspyr,"Aspyr : Negative = 3, Neutral = 0, Positive = 0"
Aspyr Studios,"Aspyr Studios : Negative = 3, Neutral = 3, Positive = 0"
Atapki,"Atapki : Negative = 1, Neutral = 0, Positive = 0"
Atelier 801,"Atelier 801 : Negative = 11, Neutral = 4, Positive = 9"
AtomicTorch Studio,"AtomicTorch Studio : Negative = 1, Neutral = 0, Positive = 0"
Atypical Games,"Atypical Games : Negative = 1, Neutral = 0, Positive = 0"
Aurelien Regard,"Aurelien Regard : Negative = 1, Neutral = 0, Positive = 0"
"Autobotika,Game Nation Inc","Autobotika,Game Nation Inc : Negative = 0, Neutral = 1, Positive = 0"
Avalanche Software,"Avalanche Software : Negative = 1, Neutral = 1, Positive = 1"
Avalanche Studios,"Avalanche Studios : Negative = 181, Neutral = 53, Positive = 68"
"Avalanche Studios,Feral Interactive (Mac/Linux)","Avalanche Studios,Feral Interactive (Mac/Linux) : Negative = 18, Neutral = 4, Positive = 9"
Avidly Wild Games,"Avidly Wild Games : Negative = 1, Neutral = 0, Positive = 0"
Awesome Games Studio,"Awesome Games Studio : Negative = 30, Neutral = 6, Positive = 2"
AwesomeBlade,"AwesomeBlade : Negative = 1, Neutral = 0, Positive = 0"
Axis Game Factory,"Axis Game Factory : Negative = 3, Neutral = 0, Positive = 0"
Axis Game Factory LLC,"Axis Game Factory LLC : Negative = 4, Neutral = 0, Positive = 0"
Axyos Games,"Axyos Games : Negative = 0, Neutral = 0, Positive = 2"
BANDAI NAMCO Studio Inc.,"BANDAI NAMCO Studio Inc. : Negative = 4, Neutral = 2, Positive = 1"
BS1 &amp; BSL Team,"BS1 &amp; BSL Team : Negative = 0, Neutral = 1, Positive = 0"
BUGBEAR,"BUGBEAR : Negative = 2, Neutral = 0, Positive = 0"
Bacon Wrapped Games,"Bacon Wrapped Games : Negative = 1, Neutral = 0, Positive = 0"
"BadFly Interactive, a.s.","BadFly Interactive, a.s. : Negative = 1, Neutral = 3, Positive = 0"
Badland Studio,"Badland Studio : Negative = 3, Neutral = 0, Positive = 0"
Baggy Cat Ltd,"Baggy Cat Ltd : Negative = 2, Neutral = 0, Positive = 0"
Baller Industries,"Baller Industries : Negative = 1, Neutral = 0, Positive = 0"
Bankroll Studios,"Bankroll Studios : Negative = 7, Neutral = 7, Positive = 5"
"Bat Country Games, LLC","Bat Country Games, LLC : Negative = 2, Neutral = 0, Positive = 0"
"Batterystaple Games,Fire Hose Games","Batterystaple Games,Fire Hose Games : Negative = 2, Neutral = 0, Positive = 0"
BattleGoat Studios,"BattleGoat Studios : Negative = 3, Neutral = 0, Positive = 1"
Beam Team Games,"Beam Team Games : Negative = 40, Neutral = 14, Positive = 13"
BeamNG,"BeamNG : Negative = 7, Neutral = 4, Positive = 2"
Beamdog,"Beamdog : Negative = 1, Neutral = 1, Positive = 2"
BeautiFun Games,"BeautiFun Games : Negative = 1, Neutral = 0, Positive = 0"
Bedlam Games,"Bedlam Games : Negative = 0, Neutral = 1, Positive = 0"
Bedtime Digital Games,"Bedtime Digital Games : Negative = 1, Neutral = 0, Positive = 0"
Behold Studios,"Behold Studios : Negative = 3, Neutral = 2, Positive = 1"
"Ben 'Yahtzee' Croshaw,Collected Worlds","Ben 'Yahtzee' Croshaw,Collected Worlds : Negative = 0, Neutral = 1, Positive = 0"
Ben Prunty Music,"Ben Prunty Music : Negative = 1, Neutral = 0, Positive = 0"
Benjamin Bryant,"Benjamin Bryant : Negative = 1, Neutral = 0, Positive = 0"
Benjamin Rivers Inc.,"Benjamin Rivers Inc. : Negative = 2, Neutral = 2, Positive = 0"
Best Way,"Best Way : Negative = 2, Neutral = 1, Positive = 0"
BetaDwarf,"BetaDwarf : Negative = 0, Neutral = 1, Positive = 2"
Bethesda Game Studios,"Bethesda Game Studios : Negative = 160, Neutral = 61, Positive = 49"
Big Ant Studios,"Big Ant Studios : Negative = 5, Neutral = 0, Positive = 0"
Big Fat Alien,"Big Fat Alien : Negative = 1, Neutral = 1, Positive = 0"
Big Finish Games,"Big Finish Games : Negative = 0, Neutral = 1, Positive = 0"
"Big Huge Games,38 Studios","Big Huge Games,38 Studios : Negative = 9, Neutral = 5, Positive = 1"
Big Robot Ltd,"Big Robot Ltd : Negative = 10, Neutral = 5, Positive = 4"
BigAnt Studios,"BigAnt Studios : Negative = 1, Neutral = 0, Positive = 0"
Binary Fortress Software,"Binary Fortress Software : Negative = 1, Neutral = 0, Positive = 0"
"Binary Zoo,The Game Creators","Binary Zoo,The Game Creators : Negative = 4, Neutral = 2, Positive = 0"
BioWare,"BioWare : Negative = 40, Neutral = 4, Positive = 4"
BioWare Corporation,"BioWare Corporation : Negative = 1, Neutral = 0, Positive = 0"
"BioWare,Aspyr (Mac)","BioWare,Aspyr (Mac) : Negative = 17, Neutral = 4, Positive = 2"
"BitMonster, Inc.","BitMonster, Inc. : Negative = 5, Neutral = 5, Positive = 1"
Bitbox Ltd.,"Bitbox Ltd. : Negative = 10, Neutral = 6, Positive = 1"
Bithell Games,"Bithell Games : Negative = 14, Neutral = 7, Positive = 3"
"Bitl,Cobalt-57","Bitl,Cobalt-57 : Negative = 1, Neutral = 0, Positive = 0"
Bizarre Creations,"Bizarre Creations : Negative = 2, Neutral = 0, Positive = 2"
Black Element,"Black Element : Negative = 1, Neutral = 1, Positive = 0"
Black Forest Games,"Black Forest Games : Negative = 0, Neutral = 1, Positive = 0"
Black Isle Studios,"Black Isle Studios : Negative = 3, Neutral = 3, Positive = 3"
Black Jacket Studios,"Black Jacket Studios : Negative = 1, Neutral = 0, Positive = 0"
Black Lion Studios,"Black Lion Studios : Negative = 0, Neutral = 1, Positive = 0"
Black Pants Studio,"Black Pants Studio : Negative = 4, Neutral = 3, Positive = 1"
Black Sea Studios Ltd,"Black Sea Studios Ltd : Negative = 1, Neutral = 0, Positive = 1"
Black Shell Games,"Black Shell Games : Negative = 3, Neutral = 1, Positive = 0"
Blackfire Games,"Blackfire Games : Negative = 1, Neutral = 0, Positive = 0"
Blackhole,"Blackhole : Negative = 3, Neutral = 1, Positive = 0"
Blackpowder Games,"Blackpowder Games : Negative = 1, Neutral = 0, Positive = 0"
BlankMediaGames,"BlankMediaGames : Negative = 12, Neutral = 12, Positive = 2"
Blender Foundation,"Blender Foundation : Negative = 3, Neutral = 1, Positive = 0"
Blendo Games,"Blendo Games : Negative = 5, Neutral = 3, Positive = 1"
BlinkWorks Media,"BlinkWorks Media : Negative = 3, Neutral = 2, Positive = 1"
Blit Software,"Blit Software : Negative = 2, Neutral = 3, Positive = 2"
Bloober Team SA,"Bloober Team SA : Negative = 0, Neutral = 4, Positive = 1"
Blue Bottle Games,"Blue Bottle Games : Negative = 6, Neutral = 3, Positive = 1"
Blue Byte,"Blue Byte : Negative = 2, Neutral = 5, Positive = 3"
Blue Isle Studios,"Blue Isle Studios : Negative = 5, Neutral = 5, Positive = 1"
Blue Mammoth Games,"Blue Mammoth Games : Negative = 20, Neutral = 5, Positive = 7"
Blue Manchu,"Blue Manchu : Negative = 3, Neutral = 0, Positive = 2"
BlueEagle Productions,"BlueEagle Productions : Negative = 2, Neutral = 0, Positive = 0"
BlueGiant Interactive,"BlueGiant Interactive : Negative = 1, Neutral = 1, Positive = 0"
BlueLine Games,"BlueLine Games : Negative = 3, Neutral = 1, Positive = 1"
Bluebutton Games,"Bluebutton Games : Negative = 4, Neutral = 1, Positive = 3"
Bluehole Ginno Games,"Bluehole Ginno Games : Negative = 1, Neutral = 0, Positive = 1"
"Bluehole, Inc.","Bluehole, Inc. : Negative = 21, Neutral = 4, Positive = 8"
Bob the Game Development Bot,"Bob the Game Development Bot : Negative = 0, Neutral = 1, Positive = 0"
Bohemia Interactive,"Bohemia Interactive : Negative = 589, Neutral = 259, Positive = 180"
Boneloaf,"Boneloaf : Negative = 9, Neutral = 5, Positive = 4"
Bongfish GmbH,"Bongfish GmbH : Negative = 0, Neutral = 1, Positive = 0"
"Boolat Games,Alawar Entertainment","Boolat Games,Alawar Entertainment : Negative = 1, Neutral = 0, Positive = 0"
Born Ready Games,"Born Ready Games : Negative = 0, Neutral = 1, Positive = 0"
Born Ready Games Ltd.,"Born Ready Games Ltd. : Negative = 6, Neutral = 1, Positive = 1"
Boss Baddie,"Boss Baddie : Negative = 2, Neutral = 1, Positive = 0"
Bossa Studios,"Bossa Studios : Negative = 48, Neutral = 36, Positive = 25"
Brace Yourself Games,"Brace Yourself Games : Negative = 7, Neutral = 4, Positive = 4"
Brain Bombers,"Brain Bombers : Negative = 0, Neutral = 1, Positive = 0"
Brainchild,"Brainchild : Negative = 0, Neutral = 1, Positive = 0"
Brawsome,"Brawsome : Negative = 2, Neutral = 0, Positive = 0"
Breakfall,"Breakfall : Negative = 5, Neutral = 1, Positive = 1"
Brian Cronin,"Brian Cronin : Negative = 2, Neutral = 0, Positive = 1"
Brightrock Games,"Brightrock Games : Negative = 5, Neutral = 2, Positive = 0"
Brilliant Skies Ltd.,"Brilliant Skies Ltd. : Negative = 5, Neutral = 2, Positive = 1"
Broken Rules,"Broken Rules : Negative = 0, Neutral = 2, Positive = 1"
Browny Application,"Browny Application : Negative = 0, Neutral = 0, Positive = 1"
Brytenwalda,"Brytenwalda : Negative = 1, Neutral = 1, Positive = 5"
Bugbear,"Bugbear : Negative = 19, Neutral = 5, Positive = 1"
Bugbear Entertainment,"Bugbear Entertainment : Negative = 5, Neutral = 3, Positive = 2"
BumpkinBrothers,"BumpkinBrothers : Negative = 1, Neutral = 0, Positive = 1"
BurstRay Games,"BurstRay Games : Negative = 0, Neutral = 1, Positive = 0"
Burut CT,"Burut CT : Negative = 0, Neutral = 0, Positive = 1"
Bytebin,"Bytebin : Negative = 1, Neutral = 0, Positive = 1"
C3SK,"C3SK : Negative = 2, Neutral = 0, Positive = 0"
"CAPCOM CO., LTD.","CAPCOM CO., LTD. : Negative = 0, Neutral = 1, Positive = 0"
"CAPCOM Co., Ltd.","CAPCOM Co., Ltd. : Negative = 5, Neutral = 8, Positive = 6"
CAT IN JAR GAMES,"CAT IN JAR GAMES : Negative = 0, Neutral = 0, Positive = 1"
"CAVE Interactive CO.,LTD.","CAVE Interactive CO.,LTD. : Negative = 1, Neutral = 0, Positive = 0"
CCCP,"CCCP : Negative = 1, Neutral = 1, Positive = 0"
CCP,"CCP : Negative = 5, Neutral = 4, Positive = 3"
CD PROJEKT RED,"CD PROJEKT RED : Negative = 41, Neutral = 7, Positive = 8"
"CD PROJEKT RED,Can Explode","CD PROJEKT RED,Can Explode : Negative = 1, Neutral = 0, Positive = 0"
CI Games,"CI Games : Negative = 3, Neutral = 1, Positive = 2"
"CI Games,Deck 13","CI Games,Deck 13 : Negative = 4, Neutral = 2, Positive = 0"
"CINEMAX, s.r.o.","CINEMAX, s.r.o. : Negative = 1, Neutral = 3, Positive = 1"
CSR-Studios,"CSR-Studios : Negative = 4, Neutral = 3, Positive = 3"
Cabygon,"Cabygon : Negative = 0, Neutral = 1, Positive = 0"
Cadenza Interactive,"Cadenza Interactive : Negative = 1, Neutral = 1, Positive = 0"
Camouflaj,"Camouflaj : Negative = 1, Neutral = 0, Positive = 0"
Camshaft Software,"Camshaft Software : Negative = 4, Neutral = 0, Positive = 0"
Capcom,"Capcom : Negative = 28, Neutral = 21, Positive = 15"
Capcom Game Studio Vancouver,"Capcom Game Studio Vancouver : Negative = 13, Neutral = 2, Positive = 2"
Capcom Vancouver,"Capcom Vancouver : Negative = 5, Neutral = 5, Positive = 4"
Capybara Games,"Capybara Games : Negative = 1, Neutral = 0, Positive = 0"
"Capybara,Superbrothers,Jim Guthrie","Capybara,Superbrothers,Jim Guthrie : Negative = 2, Neutral = 0, Positive = 0"
Carbon Games,"Carbon Games : Negative = 39, Neutral = 12, Positive = 16"
Carlsen Games,"Carlsen Games : Negative = 4, Neutral = 2, Positive = 0"
Carmine T. Guida,"Carmine T. Guida : Negative = 1, Neutral = 0, Positive = 1"
Cat5Games,"Cat5Games : Negative = 1, Neutral = 0, Positive = 1"
Cauldron,"Cauldron : Negative = 1, Neutral = 1, Positive = 0"
Cavedog Entertainment,"Cavedog Entertainment : Negative = 2, Neutral = 1, Positive = 0"
Cellar Door Games,"Cellar Door Games : Negative = 31, Neutral = 6, Positive = 4"
Celsius Game Studios,"Celsius Game Studios : Negative = 0, Neutral = 1, Positive = 0"
Centauri Production,"Centauri Production : Negative = 0, Neutral = 2, Positive = 0"
"Chad Close,Kyle Weik","Chad Close,Kyle Weik : Negative = 1, Neutral = 0, Positive = 0"
Chaosoft Games,"Chaosoft Games : Negative = 0, Neutral = 1, Positive = 0"
Cherry Pop Games,"Cherry Pop Games : Negative = 3, Neutral = 3, Positive = 3"
Childish Things,"Childish Things : Negative = 0, Neutral = 1, Positive = 0"
Choice of Games,"Choice of Games : Negative = 6, Neutral = 1, Positive = 1"
Chris Sawyer Productions,"Chris Sawyer Productions : Negative = 4, Neutral = 0, Positive = 0"
Chucklefish,"Chucklefish : Negative = 221, Neutral = 51, Positive = 37"
Cipher Prime Studios,"Cipher Prime Studios : Negative = 1, Neutral = 1, Positive = 2"
"Circle Five Studios,Pub Games","Circle Five Studios,Pub Games : Negative = 6, Neutral = 2, Positive = 1"
City Interactive,"City Interactive : Negative = 8, Neutral = 4, Positive = 7"
Clickteam,"Clickteam : Negative = 4, Neutral = 0, Positive = 0"
Cliffhanger Productions,"Cliffhanger Productions : Negative = 1, Neutral = 0, Positive = 0"
"Cliffhanger Productions,Catalyst Games Lab","Cliffhanger Productions,Catalyst Games Lab : Negative = 1, Neutral = 0, Positive = 0"
Climax Studios,"Climax Studios : Negative = 1, Neutral = 2, Positive = 0"
ClockStone,"ClockStone : Negative = 1, Neutral = 1, Positive = 1"
Cloud 9 Studio,"Cloud 9 Studio : Negative = 1, Neutral = 0, Positive = 0"
CoaguCo Industries,"CoaguCo Industries : Negative = 0, Neutral = 1, Positive = 0"
Cobra Mobile,"Cobra Mobile : Negative = 2, Neutral = 0, Positive = 0"
Cockroach Inc.,"Cockroach Inc. : Negative = 1, Neutral = 0, Positive = 0"
Code Club AB,"Code Club AB : Negative = 1, Neutral = 0, Positive = 0"
CodeBrush Games,"CodeBrush Games : Negative = 21, Neutral = 8, Positive = 10"
Codemasters,"Codemasters : Negative = 3, Neutral = 2, Positive = 0"
Codemasters Action Studio,"Codemasters Action Studio : Negative = 0, Neutral = 1, Positive = 0"
Codemasters Birmingham,"Codemasters Birmingham : Negative = 1, Neutral = 0, Positive = 0"
Codemasters Digital,"Codemasters Digital : Negative = 0, Neutral = 1, Positive = 1"
"Codemasters Racing,Feral Interactive (Mac)","Codemasters Racing,Feral Interactive (Mac) : Negative = 15, Neutral = 4, Positive = 2"
"Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux)","Codemasters Racing,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 6, Neutral = 0, Positive = 0"
Codemasters Studios,"Codemasters Studios : Negative = 3, Neutral = 2, Positive = 0"
"Codemasters,Feral Interactive (Linux)","Codemasters,Feral Interactive (Linux) : Negative = 2, Neutral = 3, Positive = 0"
Codename Entertainment Inc.,"Codename Entertainment Inc. : Negative = 2, Neutral = 0, Positive = 0"
Code}{atch,"Code}{atch : Negative = 22, Neutral = 23, Positive = 6"
Coffee Stain Studios,"Coffee Stain Studios : Negative = 161, Neutral = 77, Positive = 87"
Cold Beam Games,"Cold Beam Games : Negative = 16, Neutral = 1, Positive = 4"
Colibri Games,"Colibri Games : Negative = 2, Neutral = 0, Positive = 0"
Colonthree Enterprises,"Colonthree Enterprises : Negative = 0, Neutral = 1, Positive = 0"
Colossal Games,"Colossal Games : Negative = 1, Neutral = 0, Positive = 0"
Colossal Order Ltd.,"Colossal Order Ltd. : Negative = 36, Neutral = 17, Positive = 14"
ComiPo! LLP,"ComiPo! LLP : Negative = 0, Neutral = 0, Positive = 2"
Compulsion Games,"Compulsion Games : Negative = 7, Neutral = 0, Positive = 1"
Conrad Nelson,"Conrad Nelson : Negative = 0, Neutral = 0, Positive = 1"
Convoy Games,"Convoy Games : Negative = 3, Neutral = 0, Positive = 0"
Core Design,"Core Design : Negative = 1, Neutral = 3, Positive = 0"
Coredumping,"Coredumping : Negative = 1, Neutral = 0, Positive = 0"
"Coreplay GmbH,Bigmoon Studios","Coreplay GmbH,Bigmoon Studios : Negative = 1, Neutral = 1, Positive = 0"
Cosmic Cow LLC,"Cosmic Cow LLC : Negative = 2, Neutral = 3, Positive = 2"
Crackpot Entertainment,"Crackpot Entertainment : Negative = 0, Neutral = 0, Positive = 2"
Crackshell,"Crackshell : Negative = 8, Neutral = 3, Positive = 2"
Crankshaft Games,"Crankshaft Games : Negative = 0, Neutral = 1, Positive = 0"
Crate Entertainment,"Crate Entertainment : Negative = 4, Neutral = 1, Positive = 3"
Crazy Moo Games,"Crazy Moo Games : Negative = 1, Neutral = 2, Positive = 3"
Crazy Viking Studios,"Crazy Viking Studios : Negative = 1, Neutral = 2, Positive = 1"
Creability,"Creability : Negative = 6, Neutral = 4, Positive = 1"
Creative Assembly,"Creative Assembly : Negative = 75, Neutral = 27, Positive = 15"
"Creative Assembly, PC Port - Hardlight","Creative Assembly, PC Port - Hardlight : Negative = 0, Neutral = 2, Positive = 0"
"Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux)","Creative Assembly,Feral Interactive (Mac),Feral Interactive (Linux) : Negative = 22, Neutral = 14, Positive = 7"
CreativeForge Games,"CreativeForge Games : Negative = 2, Neutral = 0, Positive = 0"
"Crescent Moon Games,Cinopt Studios","Crescent Moon Games,Cinopt Studios : Negative = 1, Neutral = 1, Positive = 0"
Crian Soft,"Crian Soft : Negative = 0, Neutral = 1, Positive = 0"
Criterion Games,"Criterion Games : Negative = 33, Neutral = 9, Positive = 6"
Critical Studio,"Critical Studio : Negative = 6, Neutral = 2, Positive = 3"
Croteam,"Croteam : Negative = 13, Neutral = 5, Positive = 6"
"Croteam,Alligator Pit","Croteam,Alligator Pit : Negative = 1, Neutral = 0, Positive = 1"
Crowbar Collective,"Crowbar Collective : Negative = 12, Neutral = 2, Positive = 2"
Crows Crows Crows,"Crows Crows Crows : Negative = 9, Neutral = 1, Positive = 3"
Cryptic Sea,"Cryptic Sea : Negative = 1, Neutral = 0, Positive = 0"
Cryptic Studios,"Cryptic Studios : Negative = 45, Neutral = 20, Positive = 17"
Crystal Dynamics,"Crystal Dynamics : Negative = 3, Neutral = 1, Positive = 0"
"Crystal Dynamics,Feral Interactive (Mac)","Crystal Dynamics,Feral Interactive (Mac) : Negative = 1, Neutral = 0, Positive = 0"
